country,year,capacity_mw,technology,capacity_factor,twh_per_year,country_code
Argentina,2000,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2001,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2002,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2003,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2004,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2005,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2006,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2007,0.6,geothermal,0.8,0.0042048,ARG
Argentina,2008,0.6,geothermal,0.8,0.0042048,ARG
Australia,2000,0.2,geothermal,0.8,0.0014016,AUS
Australia,2001,0.2,geothermal,0.8,0.0014016,AUS
Australia,2002,0.2,geothermal,0.8,0.0014016,AUS
Australia,2003,0.1,geothermal,0.8,0.0007008,AUS
Australia,2004,0.1,geothermal,0.8,0.0007008,AUS
Australia,2005,0.2,geothermal,0.8,0.0014016,AUS
Australia,2006,0.1,geothermal,0.8,0.0007008,AUS
Australia,2007,0.1,geothermal,0.8,0.0007008,AUS
Australia,2008,0.1,geothermal,0.8,0.0007008,AUS
Australia,2009,0.1,geothermal,0.8,0.0007008,AUS
Australia,2010,0.1,geothermal,0.8,0.0007008,AUS
Australia,2011,0.1,geothermal,0.8,0.0007008,AUS
Australia,2012,0.1,geothermal,0.8,0.0007008,AUS
Australia,2013,0.1,geothermal,0.8,0.0007008,AUS
Australia,2014,0.1,geothermal,0.8,0.0007008,AUS
Australia,2015,0.1,geothermal,0.8,0.0007008,AUS
Australia,2016,0.1,geothermal,0.8,0.0007008,AUS
Australia,2017,0.1,geothermal,0.8,0.0007008,AUS
Australia,2018,0.1,geothermal,0.8,0.0007008,AUS
Australia,2019,0.1,geothermal,0.8,0.0007008,AUS
Australia,2020,0.1,geothermal,0.8,0.0007008,AUS
Australia,2021,0.1,geothermal,0.8,0.0007008,AUS
Australia,2022,0.1,geothermal,0.8,0.0007008,AUS
Australia,2023,0.1,geothermal,0.8,0.0007008,AUS
Australia,2024,0.1,geothermal,0.8,0.0007008,AUS
Austria,2002,2.0,geothermal,0.8,0.014016,AUT
Austria,2003,2.0,geothermal,0.8,0.014016,AUT
Austria,2004,2.0,geothermal,0.8,0.014016,AUT
Austria,2005,0.915,geothermal,0.8,0.00641232,AUT
Austria,2006,0.915,geothermal,0.8,0.00641232,AUT
Austria,2007,0.915,geothermal,0.8,0.00641232,AUT
Austria,2008,0.915,geothermal,0.8,0.00641232,AUT
Austria,2009,0.915,geothermal,0.8,0.00641232,AUT
Austria,2010,0.915,geothermal,0.8,0.00641232,AUT
Austria,2011,0.915,geothermal,0.8,0.00641232,AUT
Austria,2012,0.915,geothermal,0.8,0.00641232,AUT
Austria,2013,0.915,geothermal,0.8,0.00641232,AUT
Austria,2014,0.915,geothermal,0.8,0.00641232,AUT
Austria,2015,0.915,geothermal,0.8,0.00641232,AUT
Austria,2016,0.924,geothermal,0.8,0.006475392,AUT
Austria,2017,0.915,geothermal,0.8,0.00641232,AUT
Austria,2018,0.915,geothermal,0.8,0.00641232,AUT
Austria,2019,0.915,geothermal,0.8,0.00641232,AUT
Austria,2020,0.915,geothermal,0.8,0.00641232,AUT
Austria,2021,0.25,geothermal,0.8,0.001752,AUT
Austria,2022,0.25,geothermal,0.8,0.001752,AUT
Austria,2023,0.25,geothermal,0.8,0.001752,AUT
Austria,2024,0.25,geothermal,0.8,0.001752,AUT
Chile,2017,24.0,geothermal,0.8,0.168192,CHL
Chile,2018,39.7,geothermal,0.8,0.2782176,CHL
Chile,2019,39.7,geothermal,0.8,0.2782176,CHL
Chile,2020,39.7,geothermal,0.8,0.2782176,CHL
Chile,2021,51.4,geothermal,0.8,0.3602112,CHL
Chile,2022,83.37,geothermal,0.8,0.58425696,CHL
Chile,2023,83.58,geothermal,0.8,0.58572864,CHL
Chile,2024,83.58,geothermal,0.8,0.58572864,CHL
China,2000,21.65,geothermal,0.8,0.1517232,CHN
China,2001,21.65,geothermal,0.8,0.1517232,CHN
China,2002,21.65,geothermal,0.8,0.1517232,CHN
China,2003,21.65,geothermal,0.8,0.1517232,CHN
China,2004,21.65,geothermal,0.8,0.1517232,CHN
China,2005,21.65,geothermal,0.8,0.1517232,CHN
China,2006,21.65,geothermal,0.8,0.1517232,CHN
China,2007,21.65,geothermal,0.8,0.1517232,CHN
China,2008,24.75,geothermal,0.8,0.173448,CHN
China,2009,24.75,geothermal,0.8,0.173448,CHN
China,2010,24.05,geothermal,0.8,0.1685424,CHN
China,2011,26.15,geothermal,0.8,0.1832592,CHN
China,2012,26.15,geothermal,0.8,0.1832592,CHN
China,2013,25.95,geothermal,0.8,0.1818576,CHN
China,2014,25.95,geothermal,0.8,0.1818576,CHN
China,2015,25.75,geothermal,0.8,0.180456,CHN
China,2016,25.75,geothermal,0.8,0.180456,CHN
China,2017,25.75,geothermal,0.8,0.180456,CHN
China,2018,25.75,geothermal,0.8,0.180456,CHN
China,2019,25.75,geothermal,0.8,0.180456,CHN
China,2020,25.75,geothermal,0.8,0.180456,CHN
China,2021,25.75,geothermal,0.8,0.180456,CHN
China,2022,25.75,geothermal,0.8,0.180456,CHN
China,2023,25.75,geothermal,0.8,0.180456,CHN
China,2024,25.75,geothermal,0.8,0.180456,CHN
Costa Rica,2000,144.71,geothermal,0.8,1.01412768,CRI
Costa Rica,2001,144.71,geothermal,0.8,1.01412768,CRI
Costa Rica,2002,144.71,geothermal,0.8,1.01412768,CRI
Costa Rica,2003,162.71,geothermal,0.8,1.14027168,CRI
Costa Rica,2004,165.71,geothermal,0.8,1.1612956800000005,CRI
Costa Rica,2005,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2006,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2007,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2008,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2009,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2010,165.711,geothermal,0.8,1.161302688,CRI
Costa Rica,2011,217.461,geothermal,0.8,1.523966688,CRI
Costa Rica,2012,217.461,geothermal,0.8,1.523966688,CRI
Costa Rica,2013,217.461,geothermal,0.8,1.523966688,CRI
Costa Rica,2014,217.461,geothermal,0.8,1.523966688,CRI
Costa Rica,2015,217.361,geothermal,0.8,1.523265888,CRI
Costa Rica,2016,206.86,geothermal,0.8,1.4496748800000003,CRI
Costa Rica,2017,206.86,geothermal,0.8,1.4496748800000003,CRI
Costa Rica,2018,206.86,geothermal,0.8,1.4496748800000003,CRI
Costa Rica,2019,261.86,geothermal,0.8,1.8351148800000003,CRI
Costa Rica,2020,261.86,geothermal,0.8,1.8351148800000003,CRI
Costa Rica,2021,258.84,geothermal,0.8,1.81395072,CRI
Costa Rica,2022,262.66,geothermal,0.8,1.8407212800000003,CRI
Costa Rica,2023,262.66,geothermal,0.8,1.8407212800000003,CRI
Costa Rica,2024,262.66,geothermal,0.8,1.8407212800000003,CRI
Croatia,2018,10.0,geothermal,0.8,0.07008,HRV
Croatia,2019,10.0,geothermal,0.8,0.07008,HRV
Croatia,2020,10.0,geothermal,0.8,0.07008,HRV
Croatia,2021,10.0,geothermal,0.8,0.07008,HRV
Croatia,2022,10.0,geothermal,0.8,0.07008,HRV
Croatia,2023,10.0,geothermal,0.8,0.07008,HRV
Croatia,2024,10.0,geothermal,0.8,0.07008,HRV
El Salvador,2000,161.24,geothermal,0.8,1.1299699200000002,SLV
El Salvador,2001,161.24,geothermal,0.8,1.1299699200000002,SLV
El Salvador,2002,161.24,geothermal,0.8,1.1299699200000002,SLV
El Salvador,2003,161.24,geothermal,0.8,1.1299699200000002,SLV
El Salvador,2004,151.24,geothermal,0.8,1.0598899200000005,SLV
El Salvador,2005,151.24,geothermal,0.8,1.0598899200000005,SLV
El Salvador,2006,151.24,geothermal,0.8,1.0598899200000005,SLV
El Salvador,2007,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2008,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2009,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2010,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2011,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2012,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2013,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2014,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2015,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2016,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2017,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2018,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2019,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2020,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2021,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2022,204.44,geothermal,0.8,1.4327155200000004,SLV
El Salvador,2023,209.4,geothermal,0.8,1.4674752000000002,SLV
El Salvador,2024,209.4,geothermal,0.8,1.4674752000000002,SLV
Ethiopia,2000,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2001,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2002,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2003,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2004,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2005,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2006,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2007,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2008,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2009,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2010,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2011,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2012,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2013,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2014,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2015,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2016,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2017,7.3,geothermal,0.8,0.0511584,ETH
Ethiopia,2018,7.3,geothermal,0.8,0.0511584,ETH
