"Electricity statistics by Country/area, Technology, Data Type, Grid connection and Year",,,,,
,,,,,
Afghanistan,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,31.70
,,,Off-grid,2024,22.26
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Albania,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,306.73
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Algeria,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,388.95
,,,Off-grid,2024,47.85
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,25.00
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
American Samoa,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,5.61
,,,Off-grid,2024,1.50
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Andorra,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,8.73
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Angola,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,360.43
,,,Off-grid,2024,1.46
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Anguilla,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,1.54
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Antigua and Barbuda,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,15.17
,,,Off-grid,2024,0.41
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Argentina,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,1732.23
,,,Off-grid,2024,8.37
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Armenia,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,485.40
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Aruba,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,14.80
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Australia,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,35861.94
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,3.00
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Austria,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,8472.30
,,,Off-grid,2024,8.70
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Azerbaijan,Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,281.00
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
,Solar thermal energy,Electricity Installed Capacity (MW),On-grid,2024,-
,,,Off-grid,2024,-
,,Electricity Generation (GWh),On-grid,2024,-
,,,Off-grid,2024,-
Bahamas (the),Solar photovoltaic,Electricity Installed Capacity (MW),On-grid,2024,15.60
