"Heat generation (TJ) by Country/area, Technology, Grid connection and Year",,,,
,,,,
Albania,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Armenia,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Austria,Solar thermal energy,Heat (Commercial),2023,129.225
,,Combined Heat and Power (CHP),2023,-
Azerbaijan,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Belarus,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Belgium,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Bosnia and Herzegovina,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Bulgaria,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Canada,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
China,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Croatia,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Cyprus,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Czechia,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Denmark,Solar thermal energy,Heat (Commercial),2023,2621.490
,,Combined Heat and Power (CHP),2023,-
Estonia,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Finland,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
France,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Germany,Solar thermal energy,Heat (Commercial),2023,125.000
,,Combined Heat and Power (CHP),2023,-
Greece,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Hungary,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Iceland,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Italy,Solar thermal energy,Heat (Commercial),2023,13.432
,,Combined Heat and Power (CHP),2023,-
Japan,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Kazakhstan,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Kosovo,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Kyrgyzstan,Solar thermal energy,Heat (Commercial),2023,-
,,Combined Heat and Power (CHP),2023,-
Latvia,Solar thermal energy,Heat (Commercial),2023,30.838
,,Combined Heat and Power (CHP),2023,-
