"Public Investments (2022 Million USD) by Country/area, Technology and Year",,,
,,,
Afghanistan,On-grid solar photovoltaic,2023,21.57
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Albania,On-grid solar photovoltaic,2023,61.71
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Algeria,On-grid solar photovoltaic,2023,0.03
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Angola,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,59.89
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Anguilla,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Antigua and Barbuda,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Argentina,On-grid solar photovoltaic,2023,12.23
,Off-grid solar photovoltaic,2023,182.73
,Solar thermal energy,2023,26.51
,Concentrated solar power,2023,-
Armenia,On-grid solar photovoltaic,2023,0.99
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Australia,On-grid solar photovoltaic,2023,1.36
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Austria,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Azerbaijan,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bahamas (the),On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bangladesh,On-grid solar photovoltaic,2023,47.98
,Off-grid solar photovoltaic,2023,0.03
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Barbados,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Belarus,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Belgium,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Belize,On-grid solar photovoltaic,2023,73.79
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Benin,On-grid solar photovoltaic,2023,15.63
,Off-grid solar photovoltaic,2023,3.68
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bhutan,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bolivia (Plurinational State of),On-grid solar photovoltaic,2023,14.85
,Off-grid solar photovoltaic,2023,219.21
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bosnia and Herzegovina,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,0.01
,Solar thermal energy,2023,0.01
,Concentrated solar power,2023,-
Botswana,On-grid solar photovoltaic,2023,16.77
,Off-grid solar photovoltaic,2023,57.50
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Brazil,On-grid solar photovoltaic,2023,489.88
,Off-grid solar photovoltaic,2023,37.41
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Bulgaria,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Burkina Faso,On-grid solar photovoltaic,2023,53.10
,Off-grid solar photovoltaic,2023,2.13
,Solar thermal energy,2023,0.01
,Concentrated solar power,2023,-
Burundi,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,0.15
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Cabo Verde,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Cambodia,On-grid solar photovoltaic,2023,0.10
,Off-grid solar photovoltaic,2023,0.02
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Cameroon,On-grid solar photovoltaic,2023,2.92
,Off-grid solar photovoltaic,2023,137.57
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Canada,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Central African Republic (the),On-grid solar photovoltaic,2023,0.40
,Off-grid solar photovoltaic,2023,0.25
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Chad,On-grid solar photovoltaic,2023,0.51
,Off-grid solar photovoltaic,2023,0.29
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Chile,On-grid solar photovoltaic,2023,191.66
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
China,On-grid solar photovoltaic,2023,5.90
,Off-grid solar photovoltaic,2023,47.92
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Chinese Taipei,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Colombia,On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,7.28
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Comoros (the),On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Congo (the),On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,8.52
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
Cook Islands (the),On-grid solar photovoltaic,2023,-
,Off-grid solar photovoltaic,2023,-
,Solar thermal energy,2023,-
,Concentrated solar power,2023,-
