country,Energy,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Production-twh
Afghanistan,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.07,0.08,0.09,0.09,,0.63
Albania,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.16,0.3,,0.55
Algeria,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.09,0.57,0.69,0.71,0.82,0.79,0.83,0.87,0.686,6.116
American Samoa,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,,0.01
Angola,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.39,0.39,,0.98
Antigua and Barbuda,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,,0.12000000000000001
Argentina,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.01,0.01,0.02,0.11,0.8,1.34,2.2,2.94,3.27,3.95,14.7
Armenia,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.14,0.29,0.52,0.77,0.88,2.68
Aruba,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.03,,,0.18
Australia,Solar,0,0,0,0,0,0,0,0,0.005,0.012,0.015,0.017,0.021,0.026,0.031,0.036,0.041,0.05,0.05,0.06,0.06,0.07,0.08,0.1,0.11,0.14,0.29,0.98,2.04,2.41,3.85,4.95,6.2,7.44,8.92,12.33,18.3,23.84,31.19,37.54,44.99,49.84,256.034
Austria,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.09,0.17,0.34,0.63,0.79,0.94,1.1,1.27,1.46,1.7,2.04,2.77,3.78,6.39,8.82,32.480000000000004
Azerbaijan,Solar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.41,0.8
Bahamas,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,,,0.04
Bahrain,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.08,0.09,,0.30000000000000004
Bangladesh,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.03,0.07,0.06,0.09,0.13,0.16,0.2,0.22,0.25,0.31,0.37,0.46,0.61,0.87,1.07,1.42,6.37
Barbados,Solar,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.03,0.04,0.07,0.08,0.08,0.09,,0.45999999999999996
Belarus,Solar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.09,0.18,0.18,0.18,0.18,0.21,0.23,0.23,1.52
Belgium,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.17,0.58,1.21,2.15,2.64,2.89,3.06,3.1,3.31,3.9,4.25,5.11,5.62,6.88,7.82,8.93,61.67
