country,year,population,solar_electricity,public_investment_usd_million,re_capacity_share_pct,solar_electricity_twh,solar_electricity_twh_unified
Algeria,2024,46814302,0.686,0.03,2.09,0.686,0.686
Angola,2024,37885854,0,0,63.73,0,0
Argentina,2024,45696153,3.95,12.23,34.98,3.95,3.95
Armenia,2024,2973843,0.88,0.99,45.2,0.88,0.88
Australia,2024,26713206,49.84,1.36,52.5,49.84,49.84
Austria,2024,9120815,8.82,0,84.96,8.82,8.82
Azerbaijan,2024,10336577,0.41,0,21.29,0.41,0.41
Bahrain,2024,1607059,0,0,0.69,0,0
Bangladesh,2024,173562366,1.42,47.98,3.98,1.42,1.42
Belarus,2024,9056696,0.23,0,4.84,0.23,0.23
Belgium,2024,11738761,8.93,0,56.71,8.93,8.93
Bolivia,2024,12413318,0.34,0,32.56,0.34,0.34
Bosnia and Herzegovina,2024,3164256,0.34,0,46.62,0.34,0.34
Brazil,2024,211998565,74.68,489.88,86.85,74.68,74.68
Bulgaria,2024,6757686,5.34,0,51.19,5.34,5.34
Cambodia,2024,17638804,1.07,0.1,52.66,1.07,1.07
Canada,2024,39742429,8.21,0,70.75,8.21,8.21
Chad,2024,20299131,0,0.51,1.69,0,0
Chile,2024,19764774,19.92,191.66,63.22,19.92,19.92
China,2024,1419321284,834.1,5.9,54.27,834.1,834.1
Colombia,2024,52886360,3.21,0,70.38,3.21,3.21
Congo,2024,6332969,0,0,26.67,0,0
Costa Rica,2024,5129909,0.08,0,85.89,0.08,0.08
Croatia,2024,3875325,0.86,12.43,77.08,0.86,0.86
Cuba,2024,10979781,0,0.24,12.16,0,0
Curacao,2024,185482,0,0,29.17,0,0
Cyprus,2024,1358287,1.11,0,37.43,1.11,1.11
Czechia,2024,10735857,4,0,27.9,4,4
Democratic Republic of Congo,2024,109276264,0,0,88.62,0,0
Denmark,2024,5977417,3.99,0,75.45,3.99,3.99
Dominican Republic,2024,11427558,1.78,0,37.44,1.78,1.78
Ecuador,2024,18135478,0.04,138.94,60.24,0.04,0.04
Egypt,2024,116538256,5.74,0,12.67,5.74,5.74
El Salvador,2024,6338197,1.11,0,61.58,1.11,1.11
Equatorial Guinea,2024,1892523,0,0,31.7,0,0
Estonia,2024,1360548,0.94,22.8,61.26,0.94,0.94
Finland,2024,5617311,1.23,0,62.77,1.23,1.23
France,2024,66548532,23.57,0,47.42,23.57,23.57
Gabon,2024,2538953,0,0,46.52,0,0
Georgia,2024,3807668,0,0.81,74.99,0,0
Germany,2024,84552234,70.99,0,64.76,70.99,70.99
Greece,2024,10047813,12.27,0,65.83,12.27,12.27
Guyana,2024,831092,0,0,17.01,0,0
Hungary,2024,9676135,9.4,0,53.32,9.4,9.4
Iceland,2024,393404,0,0,97.54,0,0
India,2024,1450935785,133.81,1082.2,38.3,133.81,133.81
Indonesia,2024,283487933,0.925,0.01,14.26,0.925,0.925
