state,twh_per_year,country_code,country
AK,-0.46611784800000006,USA,United States
AR,-0.796773684,USA,United States
AZ,0.35250415199999974,USA,United States
CA,-29.360963394000002,USA,United States
CO,16.35718665,USA,United States
CT,0.0177828,USA,United States
DE,0.006132,USA,United States
GU,0.00084315,USA,United States
HI,0.6943294259999999,USA,United States
IA,37.681894236,USA,United States
ID,3.4716317999999995,USA,United States
IL,21.574988232,USA,United States
IN,10.891925141999998,USA,United States
KS,26.731546463999997,USA,United States
KY,-0.030656934,USA,United States
MA,0.37671941999999997,USA,United States
MD,0.26202035999999995,USA,United States
ME,3.0574642559999994,USA,United States
MI,11.166001013999999,USA,United States
MN,14.507205174,USA,United States
MO,7.313375789999999,USA,United States
MS,0.565677,USA,United States
MT,2.883005789999999,USA,United States
NA,2.673552,USA,United States
NC,1.125231198,USA,United States
ND,13.538677235999998,USA,United States
NE,9.344760222,USA,United States
NH,0.6565838999999999,USA,United States
NJ,0.027593999999999994,USA,United States
NM,-0.20631420600000056,USA,United States
NV,0.404104932,USA,United States
NY,5.050833353999999,USA,United States
OH,3.153037608,USA,United States
OK,33.57991123199999,USA,United States
OR,10.207440641999998,USA,United States
PA,4.006722384,USA,United States
PR,0.363400716,USA,United States
RI,0.24339440999999995,USA,United States
SD,10.691470061999999,USA,United States
TN,0.082782,USA,United States
TX,123.971159088,USA,United States
UT,1.1058387479999998,USA,United States
VA,-0.061313868,USA,United States
VT,0.45867359999999996,USA,United States
WA,10.318478897999999,USA,United States
WI,2.4766289519999996,USA,United States
WV,2.6367599999999998,USA,United States
WY,9.728344415999999,USA,United States
