Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Algeria,COAL,0.746387614,2.242933752,5.999409693,9.731650432,10.03106684,10.03294468,10.14079182,10.27824017,10.43077304,10.5719926,9.836612115,9.101231632,8.43656289,6.624715936,6.75325152,4.031648942,4.200048348,4.528545298,5.099137307,5.096658234,4.745084897,4.404905158,2.540907134,2.977930112,3.073221916,3.034910701,2.009348585,2.054494318,2.101371095,1.338398216,0.0136538,0.016115,0.126991474,0.369068953,0.244751104,0.169038146,0.168539167,0.270797925,0.120252474,0.118792748,0.192922041,0.27573937,174.2818108
Africa,        Angola,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Benin,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238502,0.0113684,0.00072957,0.00036039,0.0189278,0.0113391,0.0092881,0.281573293,0.304107923,0.581825043,0.876803965,0.875481363,0.861022106,0.571680504,1.152260883,5.58062157
Africa,        Botswana,COAL,2.537534118,2.741488781,2.959212393,2.89108081,2.857094275,3.170023549,3.55097541,3.618879039,4.285834939,4.619243155,5.185737266,5.00796479,6.397802672,6.095227432,5.894037224,5.996340518,5.054660786,4.62880814,5.456414182,4.668672841,6.11021028,5.953822116,6.198646177,5.580889665,5.763430423,6.430236307,6.668776397,6.036532207,5.425124126,4.93502244,4.731854482,5.084845939,4.433191085,4.169997682,4.933241293,8.071124793,11.14442406,10.49513518,9.831464691,9.177331936,8.511869457,9.616500553,236.9207036
Africa,        Burkina Faso,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burundi,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cabo Verde,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cameroon,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Central African Republic,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Chad,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Comoros,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Congo-Brazzaville,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Congo-Kinshasa,COAL,1.053635911,1.068873669,0.939074083,0.862745825,0.805464911,0.923836032,0.908598274,0.931455204,0.939102797,0.954372492,0.962007486,0,0,0,0,0,0,0,0,0,0,0.00118372,0.0136831,0.0068562,0.0195724,0.069403789,0.059123298,0.091241665,0.103843009,0.073180852,0.110048749,0.087815323,0.100013792,0.037915665,0.053474258,0.105104374,0.122798058,0.151918742,0.264128366,0.137602176,0.079861838,0.105403234,12.14335892
Africa,        Côte d’Ivoire,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Djibouti,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Egypt,COAL,6.606784336,8.545244208,8.756556101,8.231108067,8.362605588,8.819905631,8.848882159,9.370919966,10.24883997,10.48835604,9.212376201,8.753016954,8.376321797,10.7481234,13.43062805,12.68665417,12.71946754,12.87610182,10.73748632,11.22307054,12.51265524,13.05623617,11.93509716,13.12009728,12.79305302,14.23414012,14.1168909,14.07312724,12.94469429,12.24836045,12.01183034,9.650486502,7.443430893,6.077406879,6.921301084,13.82646519,17.11655897,20.22573521,32.94524582,27.46726742,14.20526321,22.31155826,520.2793505
Africa,        Equatorial Guinea,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Eritrea,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Eswatini,COAL,1.214053997,1.131277688,0.91743867,0.703599652,0.862254464,1.145073886,1.186461894,1.138175787,1.007113078,1.055398599,1.10368412,0.848457094,0.682904476,0.386289442,1.200256627,1.048499914,0.896743494,0.983204571,2.003168336,2.133499424,1.833984276,1.851841161,1.826388837,1.547575897,1.534919469,1.399868737,1.494397569,1.537782665,1.382665535,1.249991033,0.960570907,0.949720531,0.872612014,0.467764831,0.490274556,0.579983245,0.597100598,0.803380216,0.916968698,1.067951598,1.137784632,1.481045559,47.63212778
Africa,        Ethiopia,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29E-05,0.0002637,2.57E-05,0.00003223,0.000051568,0.000070613,0.0046294,0.094609407,0.160353919,0.242260604,0.6291003,1.440584603,1.871473626,2.604628188,2.643215409,3.382801028,3.742947252,4.000194513,3.85254859,3.397591082,2.971378632,31.03876572
Africa,        Gabon,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,"        Gambia, The",COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ghana,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005274,0.197074437,0.277308971,0.327218884,0.356326969,0.340560053,0.356506578,0.489016707,0.306186172,0.672721847,3.328197548
Africa,        Guinea,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Guinea-Bissau,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Kenya,COAL,0.094899477,0.539740281,0.27283574,0.189798661,0.486359197,0.533809082,0.504152794,0.551602679,0.676157858,0.782919733,0.901544006,0.782921198,0.9371312,0.776988534,0.729538942,0.925268802,0.854094414,0.871888011,0.711745052,0.688020549,0.634639465,0.634639465,0.948993598,0.889681608,1.037961876,0.860025613,1.15065495,1.055755473,1.049824274,0.913405232,0.887816077,1.461109546,2.034404187,2.247928523,2.901204546,3.194478208,3.26822455,3.082393402,4.59833614,3.767558666,5.463772291,6.391536574,61.28576047
Africa,        Lesotho,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Liberia,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Libya,COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Madagascar,COAL,0.068997691,0.082797112,0.082797112,0.075897548,0.048298413,0.0276299,0.075897548,0.082797112,0.082801214,0.089696969,0.079160982,0.076235377,0.082693683,0.068307676,0.082797112,0.057578602,0.062672407,0.094443862,0.053032121,0.0208909,0.0256961,0.097579548,0.066794624,0.086885634,0.11490874,0.117633933,0.094397568,0.070329376,0.09109077,0.099522138,0.239566469,0.833698098,1.815043877,2.595331005,2.668905942,2.662789274,2.485768929,3.525728186,2.884226661,3.277293486,1.011375935,2.95346051,29.21347944
Africa,        Malawi,COAL,0.473288467,0.349505343,0.444163095,0.393193694,0.378630715,0.44780362,0.429600116,0.437336488,0.451444145,0.466006831,0.466006538,0.42231848,0.436881166,0.458725195,0.466006538,0.458725195,0.487850567,0.502413546,0.487850567,0.496806698,0.502923073,0.491286871,0.479650376,0.447343903,0.415037137,0.424983022,0.451535561,0.436881166,0.410158687,0.400474451,0.460181698,0.605465748,0.598527215,0.602168033,0.549742129,0.61782273,0.590306514,0.614433306,0.638560098,0.617554635,0.524450662,0.472970855,20.30701487
