Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Algeria,Natural Gas,159.0404,119.62604,191.19422,226.80544,235.1032,201.91216,208.13548,226.80544,246.16688,228.1884,235.44894,267.9485,252.3902,226.4918538,238.7023534,256.5287078,251.6530436,235.0938536,243.1402205,248.5044654,239.7584142,238.3590459,238.0092039,239.2919582,224.8318201,279.4654862,298.5318775,290.7314036,304.1157953,315.9947176,316.6980026,361.3126412,393.8835253,362.0598814,429.7180913,435.388326,437.0036699,453.5636921,492.3800177,508.3278169,491.1370431,517.8003991,12367.24263
Africa,        Angola,Natural Gas,2.8222932,2.6995848,3.06771,3.681252,3.681252,3.988023,4.294794,4.908336,5.521878,4.601565,5.828377389,6.13542,6.175162227,6.066826063,5.63231556,6.066826063,6.066826063,6.175162227,6.283498391,6.066826063,6.175162227,5.741817571,6.716843047,7.041851539,8.125213472,7.041851539,7.366860031,8.991902784,7.366860031,7.475196195,7.951875551,8.146880529,8.233549636,4.42011596,2.50256574,8.374386532,8.699392387,8.807727672,12.50721306,14.01670453,14.34016686,9.919513828,279.7275788
Africa,        Benin,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430209849,0.205160651,0.599845422,1.76548908,1.852349223,4.853054225
Africa,        Botswana,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burkina Faso,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burundi,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cabo Verde,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cameroon,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216672328,0.216672328,0.216672328,0.216672328,2.275059737,1.625042753,2.946744071,3.35842167,5.080966912,7.366860031,7.800201171,6.638125667,8.557616133,8.091819676,9.943922193,7.744140602,72.29560993
Africa,        Central African Republic,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Chad,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Comoros,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Congo-Brazzaville,Natural Gas,0.1227084,0.1840626,0.1840626,0.2147397,0.2147397,0.613542,0.1227084,0.613542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300034261,1.950051245,3.141749049,4.008438654,5.741817571,10.07526472,12.45866062,12.66449927,17.8754694,16.25042694,16.25042694,15.16707409,9.318121952,9.392667012,6.286535629,4.3855361,4.495913302,153.0327922
Africa,        Congo-Kinshasa,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041313,0.004102,0.004102,0,0,0.012327213
Africa,        Côte d’Ivoire,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43254711,3.90010249,6.500170719,8.666894292,14.51704803,14.62538419,14.62538419,13.87924065,13.87924065,13.46493513,13.46493513,13.46493513,15.53646359,16.57222767,16.57222767,17.1418979,16.9036722,18.43660337,21.17102089,21.35745855,21.3678161,23.92613183,23.92613183,20.65811091,22.03603073,23.42311441,25.84658099,436.2963064
Africa,        Djibouti,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Egypt,Natural Gas,9.20313,15.33855,28.836474,34.665123,43.868253,53.684925,61.3542,68.103162,74.852124,83.748483,87.73474478,98.473491,107.063079,122.3115456,129.8929768,134.6601982,145.1704794,146.2538413,148.8539096,158.929174,198.2552071,265.9653187,270.8404466,320.8917611,340.8256179,370.6180671,409.5107553,431.5138332,455.5536312,480.6876247,500.1881369,549.6977706,575.7742886,562.698112,520.8803468,519.3419732,548.79833,625.2613554,655.9715339,630.9855077,610.2712876,649.2532733,12246.78204
Africa,        Equatorial Guinea,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216672328,0.216672328,0.325008492,0.325008492,13.75869459,14.08370337,1.083361933,14.08370337,14.08370337,16.15184094,16.25042694,16.79210776,17.11711626,17.55046091,17.11711626,15.817082,14.84205652,12.89200527,12.78366999,16.28503405,15.66661507,15.35740572,13.67698743,15.98368062,292.460134
Africa,        Eritrea,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Eswatini,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ethiopia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Gabon,Natural Gas,0.7669275,0.6442191,0.613542,1.6258863,1.6258863,0.613542,0.306771,1.2577611,1.0736985,0.9816672,0.920313,1.088605168,1.083361933,1.083361933,1.08290163,1.08290163,1.083361933,1.083361933,1.083361933,1.083361933,0.866689312,0.866689312,0.975025476,0.975025476,1.083361933,1.083361933,1.083361933,0.866689312,0.866689312,0.866689312,0.866689312,0.758353148,4.1709429,3.445090484,4.550119474,4.095107468,4.105941143,5.275637577,5.740704757,5.026756052,5.438429842,4.918420767,78.11057026
Africa,"        Gambia, The",Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ghana,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300034261,8.991902784,4.333447146,6.500170719,7.041851539,13.80150745,8.065328081,13.34509901,19.10762758,23.21679465,35.1040285,37.13219589,177.9399876
Africa,        Guinea,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
