Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Algeria,Neuclear & Renewables,0.763831369,1.125703363,1.425880398,0.700196164,1.649382556,1.918970977,0.738992294,1.448922797,0.576656523,0.753941447,0.320709889,0.227941108,-0.336163881,-0.141258816,-0.627579923,0.302796162,0.540410665,0.464324425,0.88180401,0.713231734,0.430674254,0.849373012,0.840528514,1.300417798,1.222386624,2.424231897,1.558445904,1.862315325,2.001816434,2.717558006,3.237721785,4.874850788,5.130418866,3.045366992,2.449075074,1.860150055,1.479374287,3.606464336,4.352909671,4.929882634,3.620048402,4.993641485,72.2363454
Africa,        Angola,Neuclear & Renewables,1.613153106,1.623246663,1.837814079,1.849419223,1.835352,1.8365826,2.02004748,2.01482622,1.99645512,2.038736192,2.188310348,2.18628982,2.521131392,2.661093097,2.678012968,2.692081656,2.77513192,2.591426194,3.134119329,2.65165293,2.698970379,3.048761983,3.374139948,3.645982125,5.085814304,6.436566279,7.666732346,7.158941664,8.959049866,8.75919984,10.50787541,11.32452266,10.45012862,13.23395854,14.05475292,13.9171903,16.04124077,21.03919375,26.70406219,28.94085818,31.28799211,30.1209901,329.2018066
Africa,        Benin,Neuclear & Renewables,0.116966772,0.135961376,0.165952856,0.181948312,0.15995456,0.166952572,0.16495314,0.168952004,0.16995172,0.18494746,0.188946324,0.202942348,0.237932408,0.23993184,0.241931272,0.25492758,0.275073674,0.275010386,0.260006735,0.305008312,0.375872706,0.425935858,0.44283727,0.52578557,0.580770536,0.597760727,0.592738707,0.581731576,0.664699214,0.868613736,1.008572804,1.01455938,1.101476072,1.082285158,0.944306184,1.06408517,1.115740484,1.127201765,1.306409941,1.111719938,0.661964645,0.664535134,21.95785452
Africa,        Botswana,Neuclear & Renewables,6.45E-39,0.00999716,0.081976712,0.15995456,0.185947176,0.222936668,0.23993184,0.071979552,0.071979552,0.06498154,0.083976144,0.105969896,0.07997728,0.158954844,0.30991196,0.33990344,0.68480546,0.747787568,0.688804324,0.8497586,0.985719976,1.182664028,1.472581668,1.873467784,1.90945756,1.9744391,2.206373212,2.518284604,2.727225248,2.792206788,2.98415226,3.138108524,3.27385894,2.82379043,1.691881034,1.475774489,1.66305628,1.301131253,1.205118962,1.761397042,1.852590948,1.852590948,49.82540565
Africa,        Burkina Faso,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0.027430074,0.039750724,0.06060412,0.141965239,0.217626336,0.284013104,0.34537668,0.344127035,0.233042238,0.368534814,0.289922621,0.227142097,0.301232714,0.35397623,0.390944626,0.416676472,0.371357869,0.443403639,0.524203663,0.519102533,0.733128778,0.751270166,0.810301755,0.855728475,0.769672617,0.73230369,1.048792328,1.071723387,1.442678381,1.645318646,1.544659668,1.663257571,18.96926858
Africa,        Burundi,Neuclear & Renewables,0.045076292,0.047113814,0.043115536,0.106884056,0.15428794,0.182792738,0.212693974,0.29895669,0.323564588,0.32476706,0.342108558,0.359345748,0.338134892,0.361208056,0.38756282,0.382497436,0.3894556,0.39407914,0.354653353,0.325623206,0.322902994,0.380132926,0.410556874,0.348647732,0.327104028,0.349302001,0.342355264,0.412915524,0.396460058,0.435135472,0.514887728,0.483288264,0.50883552,0.516706672,0.508938656,0.497351385,0.51924288,0.6398534,0.536871518,0.707907045,0.700921046,0.700921046,15.93515982
Africa,        Cabo Verde,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006041074,0.01511294,0.018128496,0.02120734,0.020946863,0.023901768,0.023969744,0.023911144,0.018165414,0.017884134,0.014833125,0.017608128,0.017578242,0.020343869,0.020272084,0.017323332,0.02001776,0.011434032,0.0711697,0.197961348,0.232027579,0.2507787,0.232089695,0.224513008,0.202455675,0.237405008,0.216560695,0.187645697,0.187645697,2.568932291
Africa,        Cameroon,Neuclear & Renewables,4.108974572,5.482286375,6.211811253,6.173977628,6.44208552,7.024928445,7.030377366,7.024416867,7.529055748,7.953210752,7.951673674,8.078570216,7.951260544,7.931930162,8.043106668,8.2333586,8.60109118,9.159763949,9.217119285,9.890515618,10.18614734,10.41180979,9.38917035,10.36242113,11.38952413,10.93952594,11.19784675,11.03090971,12.09746018,11.37008768,12.05833003,12.40069379,12.88369609,12.87029397,12.8142923,11.82838422,11.76002644,13.66402013,13.33743882,14.00425291,14.04046946,12.92372047,413.0000366
Africa,        Central African Republic,Neuclear & Renewables,0.200883144,0.199077385,0.208285496,0.197271333,0.21106548,0.18365826,0.232611528,0.222851991,0.223844968,0.226186624,0.231631736,0.2293311,0.233325862,0.232581349,0.238784452,0.24171328,0.24539922,0.248369947,0.242005401,0.242693658,0.248078119,0.248260658,0.244416498,0.246229875,0.363901312,0.389651031,0.403971113,0.393857632,0.392662192,0.3860568,0.38332604,0.416485143,0.41655517,0.384103369,0.469234812,0.45981076,0.458222993,0.405991055,0.4001208,0.39137475,0.38557335,0.38557335,12.76502933
Africa,        Chad,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025093692,0.0254324,0.025356513,0.0254031,0.049501178,0.049399214,0.050681968,0.049574135,0.048839291,0.048839291,0.398117559
