Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Algeria,Petroleum,68.19306495,71.37898052,80.3716079,76.4373334,84.53685751,92.73647072,93.41091775,94.99476265,98.26966467,104.8434238,111.1724289,119.4508275,120.941944,117.8014147,116.4858843,116.9137179,113.8611906,112.6070105,117.3630472,110.7918972,128.3891133,130.1312764,141.6935474,144.1042583,150.4276714,151.7819705,154.889186,159.4274342,183.2651108,202.6980628,200.9344331,201.6275562,215.6325941,231.537983,241.4553943,251.761715,245.791254,235.7932088,242.1277317,255.7113251,231.9275429,233.199351,6356.870168
Africa,        Angola,Petroleum,12.66583506,12.63122912,13.26279033,13.89435183,12.03254339,15.78903633,15.03116253,15.09153313,15.18777484,15.32984937,15.30864203,16.126536,16.11150158,15.62716701,15.45251528,16.73048664,15.65627627,18.75093436,15.34899252,18.92571443,23.56605563,26.43482566,27.44624672,30.96816034,32.85472347,25.74177225,34.417601,40.69008259,50.29480835,59.57186928,64.69881991,67.70661932,72.36313735,84.23997966,95.59245306,94.6795052,81.98506133,71.95855093,66.04221992,75.66799188,72.25087908,56.24762225,1560.373857
Africa,        Benin,Petroleum,1.795305053,1.79039994,1.19359996,1.79039994,1.795305053,2.08879993,2.032855975,1.572160941,1.988900115,2.039687563,2.367217027,2.784646802,3.081526708,3.410176604,3.577053582,3.866863984,4.224394304,4.59237359,4.987102018,2.270912908,6.48726905,7.385307311,8.506921566,9.865273375,10.37543326,9.687517893,13.4532207,15.98010485,16.28567045,17.96840344,20.59544554,19.1068063,18.00207412,18.3844567,19.36473977,21.40474582,26.07444152,27.01708698,30.28430332,27.11591178,28.83637585,28.61795636,454.0491479
Africa,        Botswana,Petroleum,1.783853148,1.778979386,1.185986062,1.185986062,1.189235432,2.134775146,2.086908615,2.504405487,2.812688953,3.416518589,3.679506892,4.253213491,4.884744519,4.771051729,4.771051729,4.771051729,4.784123045,5.469542926,5.482553005,5.482558865,7.249580628,7.94399766,8.153821406,8.721400496,8.258412151,8.528356567,9.21362819,10.01894719,11.16876269,10.34058354,10.89795568,11.30148085,11.58910811,12.16130195,12.6137423,13.895525,12.979021,11.92765291,12.48435115,12.72269874,12.14820221,12.81840748,305.5656727
Africa,        Burkina Faso,Petroleum,1.7686359,1.763803451,1.763803451,1.763803451,1.7686359,1.705010071,2.017661874,2.107084009,2.209716049,1.980391981,2.010990264,2.318534491,2.324467155,2.504507744,2.733680038,2.733680038,2.864399937,4.722664537,4.318519382,4.318519968,3.968158772,4.505202867,4.656541176,5.131924007,4.550432691,4.830817283,4.802783043,6.886278208,7.480378486,7.001098462,7.474965018,8.599501362,10.2146832,12.36270283,11.54006431,14.9127249,13.98393922,16.35139855,17.93360881,18.19017602,17.36874671,18.32696482,270.7716004
Africa,        Burundi,Petroleum,0.422012295,0.480982061,0.420859047,0.480982061,0.602874456,0.601227503,0.608676735,0.648756498,1.037058264,1.185784771,1.248392132,1.434101978,1.318861269,1.495862862,1.558158178,1.495862862,1.567278096,1.563099037,1.625394646,1.62539699,1.329042433,1.026525207,0.920191112,0.729814655,0.916220962,0.729113799,0.907245786,1.542577024,0.889869128,0.863950641,1.307039891,1.659062104,1.508423186,1.684007538,1.548906117,1.580577659,1.752784014,2.113790779,2.804259636,2.96457107,2.830677688,2.986843758,56.01711593
Africa,        Cabo Verde,Petroleum,1.199641913,1.196364415,0.512727439,0.512727439,0.628383915,0.626666935,0.192381163,0.204271982,0.282105381,0.343764008,0.343764008,0.343764008,0.407037651,0.406059617,0.475080748,0.462103778,0.520500729,0.519249033,0.519249033,0.519255479,1.342049289,1.502389144,1.634590744,1.627634924,1.778451107,2.783689864,2.956188926,3.297053699,3.344619026,3.164416115,3.397942682,3.986061658,3.44222553,3.350485179,3.613053613,3.585455064,3.76268549,4.02765418,4.043206034,4.043206034,3.860576204,4.073560834,78.83229401
Africa,        Cameroon,Petroleum,9.686257407,9.659792182,11.47100333,11.47100333,11.5024308,12.07474037,13.4293995,12.39603773,11.91450629,14.61457982,14.8186842,14.89962018,15.12809689,12.48732598,13.75561897,14.08953319,13.62845931,14.18979428,14.13409732,12.99470529,13.58604727,13.28417816,13.95855545,14.64813769,14.6822634,14.22253058,17.09755792,18.81291763,18.20018138,21.16600473,23.15050633,25.45577554,23.56227593,18.38183992,25.38983062,24.25114472,22.7720772,22.70339741,21.8972589,22.24522921,22.57884722,22.6658981,693.0581417
Africa,        Central African Republic,Petroleum,0.603257993,0.782092594,0.842253405,0.902414509,0.844561073,0.842253405,1.022736424,0.939617305,0.942103703,0.939617305,1.008066207,1.070361816,1.0168272,1.130999631,1.191637446,1.191502959,1.257233407,1.253932762,1.253932762,1.253937157,1.197802166,1.236791969,1.223663225,1.133943695,1.11444894,1.091965585,1.133231119,1.134171942,0.842673274,0.803150797,0.828082167,0.905710466,0.931640966,0.608768151,0.673731525,0.971206514,1.048492882,1.100994673,1.140471735,1.166774638,1.114055441,1.175516879,42.86662781
Africa,        Chad,Petroleum,1.207725783,1.144204555,1.144204555,1.144204555,0.543476617,0.662434324,1.144204555,1.016276946,0.617378542,0.676992029,1.418777785,1.387269151,1.391069947,0.667507912,0.729803521,0.729803521,0.731802953,0.790441336,0.790441336,0.790441336,1.031862495,0.990389224,0.977657202,0.966397505,1.018164745,1.095838459,1.112390322,1.227606126,1.287318647,1.403494612,1.556755001,2.228158934,3.83323989,3.976435436,4.133980657,4.192276523,4.131583624,6.681130156,7.080562406,7.337655842,6.149991183,6.154312933,87.29566318
Africa,        Comoros,Petroleum,0.185461089,0.184954492,0.184954492,0.184954492,0.185461089,0.184954492,0.100818663,0.219224651,0.219566582,0.219224651,0.260427483,0.251155791,0.251667662,0.251155791,0.251155791,0.250979991,0.251667662,0.251155791,0.307334146,0.307339127,0.432290442,0.451388768,0.451388768,0.576455232,0.631203747,0.60573941,0.707486883,0.462632643,0.471941839,0.578892113,0.690243833,0.618689131,0.649602096,0.779523863,0.695718538,0.75114066,0.881693549,1.13542774,1.235535878,1.332033377,1.271875203,1.342043429,21.25656107
