Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Consumption
Africa,        Algeria,All,228.7983326,194.420095,279.0577712,313.7495593,331.399662,306.6737956,312.5008229,333.6070479,355.5288923,344.4400276,356.8639281,396.8232818,381.5236703,350.860529,361.40023,377.8671247,370.3431497,352.7779951,366.5717649,365.1934793,373.4124765,373.8338912,383.1757088,387.7671825,379.6457791,436.8109319,457.0980362,454.1841294,491.6015128,522.8736257,521.008241,567.9668096,614.9204039,597.1549313,674.0283039,689.3438795,684.6063561,693.3997822,739.1574599,769.2715582,727.0512135,756.4498096,18975.16318
Africa,        Angola,All,17.10536699,16.95811104,18.17265496,19.42966384,17.55334002,21.6188056,21.35110374,22.01995483,22.71153262,21.9753994,23.33090237,24.45408669,24.81372168,24.36090479,23.76852094,25.49548368,24.50408678,27.52409664,24.77252688,27.65079783,32.44793845,35.23382084,37.54619795,41.66594624,46.07675642,39.22956008,49.46300794,56.85450678,66.63663475,75.82437603,83.1784381,87.19885002,91.0685674,101.9183977,112.1765652,116.9990273,106.7511921,101.8297942,105.2786411,118.6538952,117.9072003,96.31113046,2169.821506
Africa,        Benin,All,1.912728682,1.926821539,1.359877624,1.972819461,1.95572674,2.256291419,2.198334189,1.741528911,2.159367602,2.225166506,2.556774038,2.988302909,3.320252161,3.650980484,3.819897239,4.122776292,4.500542936,4.868546832,5.248362328,2.576536628,6.864781414,7.813109336,8.951897004,10.39354145,10.95882131,10.28773585,14.04931509,16.58964966,16.96578303,18.8422484,21.6095399,20.14509607,19.11946888,19.48068791,20.5955385,22.77837955,27.77864229,29.45833842,32.67916043,29.69559206,31.84311553,32.29481553,486.5568922
Africa,        Botswana,All,4.322419679,4.531547398,4.228185072,4.23803369,4.233288007,5.529055982,5.879220414,6.196744175,7.172216534,8.102678615,8.951358341,9.369385769,11.36523907,11.02786802,10.97762293,11.10994931,10.52610346,10.84872986,11.63054977,11.00361853,14.34893814,15.08408694,15.82882998,16.17962246,15.93510595,16.93707741,18.09309964,18.57820171,19.32572803,18.07212961,18.61840945,19.52909985,19.30076814,19.15966636,19.24346094,23.44802486,25.79266194,23.72958717,23.52655414,23.66708062,22.51804107,24.29330146,592.4532905
Africa,        Burkina Faso,All,1.769058441,1.764224837,1.764224837,1.764224837,1.769058441,1.705417411,2.018143909,2.107587408,2.210243968,1.980865112,2.038907333,2.358848628,2.385641087,2.647105246,2.952011464,3.018414093,3.210543458,5.068002068,4.552649024,4.688174556,4.259098682,4.733475851,4.958958341,5.487210862,4.942557558,5.248747422,5.175377055,7.331432966,8.006494507,7.52199763,8.210054774,9.353005501,11.02761891,13.22158929,12.31267811,15.64876631,15.03632327,17.42728446,19.38091634,19.84023352,18.91792494,19.99499822,289.8100907
Africa,        Burundi,All,0.467200178,0.528222041,0.46408543,0.588006563,0.757343288,0.78420755,0.821566941,0.947939604,1.360947915,1.510912714,1.590880673,1.793876195,1.65739203,1.857514587,1.946185846,1.878809053,1.957201175,1.957645762,1.980521048,1.95148631,1.65234009,1.406994195,1.331065912,1.07872004,1.24362203,1.078673442,1.24989959,1.955959731,1.2866365,1.299396475,1.822363185,2.142862192,2.017740645,2.201239978,2.058336408,2.078425478,2.272569699,2.754302046,3.341929376,3.673355499,3.532442461,3.68864584,71.96946571
Africa,        Cabo Verde,All,1.199928517,1.196650236,0.512849934,0.512849934,0.628534041,0.626816651,0.192427124,0.204320784,0.282172778,0.343846136,0.343846136,0.343846136,0.407134895,0.412199145,0.490310799,0.480347005,0.541837487,0.540324953,0.543280564,0.543355004,1.366286772,1.52091783,1.652869667,1.642860448,1.796488328,2.801937351,2.977243912,3.318118318,3.362745552,3.185194661,3.410191241,4.058200662,3.641056547,3.583368648,3.864755413,3.8184568,3.988151071,4.231120461,4.281633714,4.260784421,4.049189053,4.262224567,81.4206737
Africa,        Cameroon,All,13.79852806,15.14569612,17.68703914,17.64919648,17.9488034,19.10423188,20.46466487,19.42509429,19.44820726,22.57318219,22.77579789,22.98368006,23.08487127,20.42413446,21.80393352,22.32822491,22.2348613,23.35513662,23.35679539,22.89068837,23.77787397,23.7016491,23.35330376,25.01653404,26.07801628,25.16806793,28.51888876,30.06768136,30.521604,32.76058963,37.4928513,39.49094453,39.40212732,34.61882429,43.29543097,43.45676865,42.34241833,43.01581758,43.80277617,44.35189528,46.5743632,43.34411225,1178.635306
Africa,        Central African Republic,All,0.804333253,0.981404388,1.050790176,1.099948566,1.05587875,1.026156763,1.255647864,1.162747019,1.166227225,1.166082449,1.239994117,1.300003423,1.250451733,1.36390675,1.430763637,1.433558646,1.502991618,1.502661621,1.496295554,1.496988372,1.446225717,1.485407418,1.468430459,1.380503304,1.478703441,1.481970586,1.537569482,1.528394632,1.235630597,1.189491708,1.211697622,1.322511492,1.348518524,0.993109018,1.143239401,1.431359155,1.507075548,1.507345759,1.540960595,1.558521642,1.499987064,1.561463186,55.64494827
Africa,        Chad,All,1.208014318,1.144477914,1.144477914,1.144477914,0.543606458,0.662592585,1.144477914,1.016519743,0.617526039,0.677153768,1.419116742,1.38760058,1.391402285,0.667667385,0.729977877,0.729977877,0.731977786,0.790630179,0.790630179,0.790630179,1.032109015,0.990625836,0.977890772,0.966628385,1.018407993,1.096100263,1.112656081,1.227899411,1.287626198,1.403829918,1.557126922,2.228691259,3.859255368,4.002830654,4.160330868,4.218677295,4.182083403,6.732137346,7.132948084,7.388994844,6.200311423,6.204634206,87.71473118
