Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Production
Africa,        Algeria,NaturalGas,142.1330886,266.9750472,325.7648892,454.4108964,470.318736,470.318736,459.944058,527.379465,565.419951,591.0108234,617.9849862,668.4750858,681.4700616,657.7774095,624.8046079,709.5588107,724.6959673,803.6625165,860.2338256,949.8147853,970.9269646,920.5376749,924.3868566,941.2999286,934.8846254,1040.853768,1017.117147,932.3719502,950.8156079,916.0585234,929.986805,909.7295581,950.2550438,875.4472171,915.5330448,912.7302244,1030.83238,1047.204173,1057.43728,978.7673833,926.7806148,1122.629799,32778.74031
Africa,        Angola,NaturalGas,2.822967468,2.700229752,3.0684429,3.68213148,3.68213148,3.98897577,4.29582006,4.90950864,5.52319722,4.60266435,5.829769834,6.1368858,6.176637522,6.068275475,5.633661164,6.068275475,6.068275475,6.176637522,6.284999568,6.068275475,6.176637522,5.743189336,6.718447754,7.043533893,8.127154649,7.043533893,7.368620032,8.99405102,7.368620032,7.476982078,7.953775316,8.148826883,8.235516696,10.02349075,7.921266527,8.376387239,18.56233461,62.55100625,69.99241901,73.33566251,81.42415478,63.47848664,591.8518599
Africa,        Benin,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Botswana,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burkina Faso,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burundi,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cabo Verde,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cameroon,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216724093,0.216724093,0.216724093,0.216724093,0.216724093,2.275603267,1.625430988,2.947448071,5.45E-16,5.082180795,7.368620032,7.8020647,6.6567404,17.44139666,25.63773547,25.85342854,24.99065625,128.7649256
Africa,        Central African Republic,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Chad,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Comoros,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Congo-Brazzaville,NaturalGas,0.153422145,0.184106574,0.184106574,0.214791003,0.214791003,0.61368858,0.122737716,0.61368858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300344849,1.950517128,3.142499638,4.009396301,5.743189336,10.07767178,12.46163709,12.66752492,17.87973999,16.2543093,16.2543093,15.17069763,9.320348124,9.394910994,6.288037532,4.386583839,4.496987411,153.1000373
Africa,        Congo-Kinshasa,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132287,0.00410298,0.00410298,0,0,0.012330158
Africa,        Côte d’Ivoire,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432650449,3.901034255,6.501723661,8.668964881,14.52051626,14.62887831,14.62887831,13.88255651,13.88255651,13.46815201,13.46815201,13.46815201,15.54017537,16.57618691,16.57618691,17.14599324,16.88699028,18.44100802,21.17607882,21.3522007,21.37292104,23.93184797,23.93184797,22.13012307,23.62199737,24.23370802,25.85267359,440.2221544
Africa,        Djibouti,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Egypt,NaturalGas,9.2053287,15.3422145,28.84336326,34.67340477,43.87873347,53.69775075,61.368858,68.11943238,74.87000676,83.76849117,87.7557053,98.49701709,107.1267335,122.3407668,129.9240093,134.6923695,145.2051618,146.2887825,148.8894719,158.9671434,198.3025718,266.0288599,270.9051525,324.7610969,352.8268707,460.5387595,592.7404739,603.57668,639.0110738,679.3217604,664.5845203,663.8259857,657.9419258,616.5801273,528.8068577,480.347344,459.2927744,551.0963326,649.5141074,722.5262303,645.9551708,752.3458048,13534.28523
Africa,        Equatorial Guinea,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216724093,0.216724093,0.325086139,0.325086139,13.76198165,14.08706808,1.083620757,14.08706808,14.08706808,31.64172193,64.47542638,67.94301215,73.03602921,74.55309786,69.02663291,70.97715004,66.75102964,67.18447783,62.89337678,74.40861523,69.98383118,60.86335768,54.36163402,63.32800164,1029.617822
Africa,        Eritrea,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Eswatini,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ethiopia,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Gabon,NaturalGas,0.767110725,0.644373009,0.61368858,1.626274737,1.626274737,0.61368858,0.30684429,1.258061589,1.073955015,0.981901728,0.92053287,1.088865244,1.083620757,1.083620757,1.083160344,1.083160344,1.083620757,1.083620757,1.083620757,1.083620757,0.866896371,0.866896371,0.975258417,0.975258417,1.083620757,1.083620757,1.083620757,0.866896371,0.866896371,0.866896371,0.866896371,0.758534325,4.171939371,3.445913543,4.551206533,4.096085821,4.106922085,5.276897968,5.742076256,5.027956983,5.439729126,4.919595816,78.12923149
Africa,"        Gambia, The",NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ghana,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541810232,7.748872495,6.892005859,9.90920078,11.47905866,16.2350883,27.94901268,31.64814661,112.4031956
Africa,        Guinea,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Guinea-Bissau,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Kenya,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Lesotho,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Liberia,NaturalGas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Libya,NaturalGas,55.2319722,33.7528719,36.8213148,42.9582006,49.70877498,55.2319722,60.75516942,57.99357081,59.52779226,65.05098948,67.19749981,70.86568878,73.37896214,68.91827086,69.24248248,68.70243653,69.56844314,71.19387413,68.91827086,56.34827173,65.01723661,66.96775374,67.29283987,59.5991337,87.33982109,122.4491291,142.9837395,165.5772291,172.2956772,172.3065131,182.1999693,85.11839885,132.223387,138.6926018,134.9541106,125.6999908,107.2785968,154.6885814,150.0479275,153.3957965,139.49721,158.7840227,3985.776495
