Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Production
Africa,        Algeria,Neuclear & Renewables,0.755014261,1.10897307,1.452219878,0.718362633,1.578779813,1.956427763,0.756168077,1.499266698,0.547643497,0.804071541,0.408500895,0.886958771,0.597093198,1.054419262,0.49582286,0.577228327,0.406066069,0.221491169,0.63653661,0.602383698,0.158449175,0.205923877,0.166958462,0.777441443,0.727976502,1.608793405,0.627903647,0.648861669,0.808615298,0.86669005,0.492066875,1.41547652,1.717934138,0.914351144,0.699561021,0.603577372,0.897779501,1.715722339,2.086007785,2.184392849,1.853765342,2.331630631,40.57330713
Africa,        Angola,Neuclear & Renewables,1.613538501,1.623634469,1.838253147,1.849861064,1.83579048,1.837021374,2.020530085,2.015307578,1.996932089,2.039223262,2.188833153,2.186812142,2.52173371,2.661728853,2.678652766,2.692724815,2.775794921,2.592045306,3.134868095,2.652286431,2.699615184,3.049490356,3.374946057,3.646853179,5.087029345,6.438104025,7.668563989,7.160651991,8.961190253,8.761292482,10.51038582,11.32722818,10.45262524,13.23712024,14.05811071,13.92051523,16.04507314,21.04422017,26.710442,28.94777238,31.29546705,30.12818624,329.2804555
Africa,        Benin,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005151584,0.005099418,0.005070111,0.005099418,0.005979214,0.006056585,0.005962802,0.005934668,0.002935389,0.002930407,0.002906961,0.002896704,0.002887912,0.002860363,0.002859191,0.002847468,0.002788854,0.005592362,0.005574191,0.016386716,0.027056222,0.016200323,0.013598448,0.021042426,0.018141033,0.020720049,0.214588785
Africa,        Botswana,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002788854,0.005592362,0.008361287,0.008193358,0.013528111,0.01350027,0.016008656,0.01565873,0.015426619,0.015426619,0.114484865
Africa,        Burkina Faso,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0.027436627,0.039760221,0.060618599,0.141999156,0.217678329,0.284080957,0.345459193,0.34420925,0.233097914,0.36862286,0.289991886,0.160499492,0.190809671,0.28486404,0.294842194,0.291481854,0.232152763,0.319515171,0.388634852,0.374633139,0.348821292,0.256272131,0.295618537,0.324356981,0.281496666,0.289498649,0.419371447,0.426608518,0.605660807,0.558494707,0.545073859,0.602224268,9.843886028
Africa,        Burundi,Neuclear & Renewables,0.006095856,0.006125163,0.006125163,0.070911217,0.119326381,0.140838305,0.186745962,0.287028655,0.311642432,0.311845236,0.326191013,0.336432637,0.315216714,0.326295932,0.344657354,0.353590127,0.354550225,0.359174869,0.325739392,0.290702581,0.292981493,0.345225323,0.37565654,0.296733375,0.264185021,0.278388658,0.267440442,0.33601765,0.320558208,0.343243584,0.420015029,0.384408196,0.409961556,0.413834769,0.418064355,0.401474542,0.419371447,0.540010782,0.437004297,0.608080686,0.601093018,0.601093018,13.55407427
Africa,        Cabo Verde,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006042517,0.015116551,0.018132827,0.021212407,0.020951867,0.023907478,0.023975471,0.023916857,0.018169754,0.017888407,0.014836669,0.017612335,0.017582442,0.020348729,0.020276927,0.017327471,0.020022542,0.011436764,0.071186703,0.198008643,0.232083012,0.250838613,0.232145143,0.224566646,0.202504043,0.237461726,0.216612433,0.187690527,0.187690527,2.569546029
Africa,        Cameroon,Neuclear & Renewables,4.109956238,5.483596136,6.213295303,6.17545264,6.443624585,7.026606756,7.032056978,7.026095055,7.530854499,7.955110836,7.953573391,8.08050025,7.953160163,7.933825162,8.045028229,8.235325614,8.603146048,9.161952289,9.219321327,9.89287854,10.18858089,10.41429725,9.391413497,10.36489679,11.39224517,10.94213948,11.200522,11.03354508,12.10035036,11.37280408,12.06121086,12.40365641,11.76182491,12.11940284,12.08838665,11.81321092,11.74583677,13.64904243,13.32125595,13.98846556,14.02382474,12.90693761,410.3592103
Africa,        Central African Republic,Neuclear & Renewables,0.200931137,0.199124946,0.208335257,0.197318463,0.211115905,0.183702137,0.232667101,0.222905232,0.223898446,0.226240662,0.231687075,0.229385889,0.233381605,0.232636915,0.238841499,0.241771027,0.245457848,0.248429285,0.242063218,0.242751639,0.248137387,0.248319969,0.244474891,0.246288701,0.363988251,0.389744122,0.404067625,0.393951728,0.392756002,0.386149032,0.38341762,0.416584645,0.416654688,0.384195134,0.469346916,0.459920612,0.458332466,0.406088049,0.400216392,0.391468253,0.385665467,0.385665467,12.7680787
Africa,        Chad,Neuclear & Renewables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025099687,0.025438476,0.025362571,0.025409169,0.049513004,0.049411016,0.050694076,0.049585979,0.048850959,0.048850959,0.398212965
