Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Production
Africa,        Algeria,Petroleum,678.5699435,622.0564495,617.7955674,601.6316562,658.9424671,672.7151789,702.2151338,707.2453721,693.5009406,727.6078883,774.5839534,771.3180775,792.2673251,772.4396822,762.4047362,769.1592468,812.9300476,834.9174499,823.8581167,813.6954453,843.1852943,887.5443827,948.3273017,1047.586922,1086.900694,1149.615875,1156.345966,1156.455228,1152.150346,1118.378183,1099.862575,1090.081188,1099.343783,1031.646544,1006.819429,1049.119341,993.5915409,952.8569354,920.1840414,916.5592496,821.8053035,825.9709533,36964.18575
Africa,        Angola,Petroleum,93.7706772,81.0455778,76.0575264,110.3501324,130.041739,144.0117168,175.8070177,224.4331221,282.5656338,283.6589622,296.1276005,311.713066,329.0204881,317.323914,334.4039208,402.8782838,443.0849815,445.0064996,458.2692441,464.4010217,466.6026544,462.8211068,558.8201485,562.6717246,658.802047,777.1164035,881.4437863,1085.358874,1223.89665,1174.490047,1194.260333,1098.935957,1121.596412,1129.150448,1092.427634,1135.314041,1118.710154,1059.090853,1021.110458,931.2685012,813.1872437,734.0281772,25705.07478
Africa,        Benin,Petroleum,0,0,0,2.6259072,4.6099911,5.2547451,5.2547451,4.5982683,3.2941068,2.628085296,2.628085296,2.628085296,3.689399616,3.810723562,3.876425753,1.971063972,1.31764272,0.854127604,0.657021324,0.657021324,0.454586738,0.459915044,0.525616942,0.262808471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.05837256
Africa,        Botswana,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burkina Faso,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Burundi,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cabo Verde,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Cameroon,Petroleum,37.0030182,55.3550616,69.3520848,72.534825,86.1303423,117.7086348,112.6180089,110.7101232,103.9945724,108.1642563,102.4379136,97.34783071,89.3204916,80.54532841,68.68125226,70.6248969,68.91483843,78.89628126,76.98750023,63.62603332,54.11699178,48.76717536,44.42317342,42.62944229,42.10125894,52.37381289,54.97463593,52.69978732,51.88572268,48.93103431,41.35692151,39.23198641,40.19422109,39.92925797,47.71952484,62.35351253,58.69632307,48.32998614,43.80957452,44.03819344,42.53371655,40.21364606,2712.263193
Africa,        Central African Republic,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Chad,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07558327,114.1784308,117.9182385,105.409542,96.25478541,85.11399899,79.74659778,81.7820041,76.73829284,69.93348879,66.7496232,80.76704407,82.10203654,76.30304872,85.38552863,87.78592697,85.4395177,77.519172,58.6939495,1551.89681
Africa,        Comoros,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Congo-Brazzaville,Petroleum,40.3000557,51.3194877,55.0268232,53.7900678,75.0171279,74.1936012,73.5752235,76.0487343,89.27771862,101.3995947,102.017885,96.45327293,107.8772435,111.9105282,111.2329501,116.1606385,124.5710793,162.1552717,169.430769,172.9123255,179.2554338,163.0643552,159.2032192,156.8073283,149.6207636,144.8840646,152.2004994,131.3488939,147.8901867,168.8726389,213.0453614,181.765333,166.0775685,152.1456883,147.9588522,150.7061138,126.020762,155.1087016,213.7785241,206.6458111,178.3564357,166.7704589,5576.197394
Africa,        Congo-Kinshasa,Petroleum,12.6108021,12.5785644,14.4630045,15.7232055,20.1778695,20.7522867,20.1251169,20.1251169,18.9176685,17.60824874,18.23711483,17.60824874,16.3953126,15.72165076,16.5141941,18.86598092,18.9176685,17.81499937,16.87773044,13.83505279,16.3953126,15.09278467,14.25372233,13.83505279,13.29577849,12.41881194,12.57732061,13.93325908,12.58507378,13.83505279,13.2061867,12.67897282,12.6117789,12.57732061,12.57732061,12.57732061,12.6117789,11.94845452,15.72165076,15.09278467,14.50354575,13.83505279,642.0341735
Africa,        Côte d’Ivoire,Petroleum,0.6330312,4.4165649,5.6796966,14.5157571,17.085981,17.672121,12.6225249,11.3593932,7.5934437,1.262116212,1.262116212,1.262116212,0.949180463,0.315520334,4.291194829,5.063160259,10.1245917,11.84314421,12.62116095,9.465870861,7.275321197,6.941638436,7.572696689,11.99010299,16.45246125,24.61126394,39.12559907,32.81501859,37.43885872,36.48604741,27.66108957,24.98298309,23.99230831,23.34914773,22.71808977,18.6706735,25.64343275,23.99508368,23.33296734,24.80959848,23.26380399,20.81335018,653.9802225
Africa,        Djibouti,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Egypt,Petroleum,386.9596962,387.8025854,435.0015189,473.7680782,535.3951601,576.1650214,527.6977132,580.8083293,557.208578,571.7398247,574.1657407,577.4416449,567.1821352,573.3088787,576.986533,592.8417085,596.5843891,554.7025754,540.8813898,555.3175248,506.6592158,476.360913,471.9986622,471.0044295,446.1548803,429.9490527,416.6204249,414.9302656,422.4802675,428.9129556,435.032208,438.641064,442.7147426,441.7530173,442.0453429,451.2825163,432.3140845,442.3562565,453.2594484,444.7051633,423.4347332,408.1138894,20482.68256
Africa,        Equatorial Guinea,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0.058448709,0.937741354,2.630191883,2.928840764,2.923396109,9.963503135,30.63993394,48.51242807,59.61768269,98.1698103,106.0483759,124.2395356,120.6766385,215.3853525,217.5036589,209.0652194,211.8973734,207.1321282,198.6061229,184.8492843,171.5954397,178.7367597,166.7908595,159.7647952,153.9199244,140.4271715,115.7308909,106.1922367,95.80940986,90.82904921,81.81287609,3513.395079
Africa,        Eritrea,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Eswatini,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ethiopia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Gabon,Petroleum,110.5254891,95.1070764,98.2546482,98.8847487,99.1573038,108.3333255,104.5527225,97.6245477,100.4203016,131.008511,170.0056308,185.1599611,187.9882401,197.429067,206.9354668,229.7101024,232.6470952,233.2510594,221.560034,208.4971463,198.9458804,170.0591249,158.2179709,152.0558084,150.9790261,167.7393355,149.4125148,153.8219989,156.7166882,152.5044675,154.8651056,152.0161191,145.2620713,138.5666943,138.5666943,134.3648275,133.1482708,125.2449647,123.3467911,127.0913705,109.6626828,110.2493911,6319.890275
Africa,"        Gambia, The",Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Ghana,Petroleum,1.2660624,1.2631317,1.2631317,1.2631317,1.2660624,0.6301005,0.1904955,0,0,0,0,0,0.70038865,1.015963496,0.888968059,2.539908739,3.82030109,3.174885924,3.174885924,3.809863109,4.457017938,4.444840294,4.444840294,4.444840294,4.457017938,3.809863109,3.809863109,3.809863109,3.82030109,3.809863109,4.564877076,48.58358312,49.89007043,62.17209488,66.68478205,64.99382911,62.62788672,95.72028816,109.6219393,126.9966409,127.008138,114.2257373,1000.665458
Africa,        Guinea,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Guinea-Bissau,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Kenya,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Lesotho,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Liberia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Libya,Petroleum,1125.524242,720.6647057,729.0101377,696.7983228,690.7022912,666.1063109,652.5312722,614.3315026,741.6892661,726.7261948,865.6991597,934.8362097,906.326797,859.7684097,870.0903277,877.2919345,890.613985,921.1418621,886.7083832,842.7124001,901.4332777,873.0413985,844.7682128,907.7791942,970.3264808,1061.305148,1132.289249,1170.69445,1182.0836,1118.41686,1121.505634,317.0542351,941.5795402,635.1613224,349.2168265,300.5809213,291.7902539,559.2249647,643.7151466,733.5852156,257.4461209,771.6416962,33303.91345
Africa,        Madagascar,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Malawi,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mali,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Mauritania,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17717612,9.389540779,8.05969902,7.043022192,5.15595091,4.846181781,4.13059159,4.227867384,3.75975781,3.285996088,3.037186985,0,0,0,0,0,72.11297066
Africa,        Mauritius,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Morocco,Petroleum,0.615447,0.6125163,0.6125163,0.6125163,0.615447,0.6125163,0.305918482,0.2461788,0.2461788,0.184129727,0.184129727,0.184129727,0.1230894,0.122752956,0.122752956,0.184129727,0.1846341,0,0.061376478,0.122752956,0.1846341,0.245506204,0.15957896,0.122752956,0.1230894,0.085927245,0.122752956,0.135028486,0.11078046,0.098202482,0.122752956,0.122752956,0.08616258,0.098202482,0.098202482,0.098202482,0.09847152,0.098202482,0.061376478,0.042963476,0.03077235,0.015356868,8.314772788
Africa,        Mozambique,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Namibia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Niger,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.257867495,12.72146533,12.68670723,12.68670723,8.880695061,8.268952466,8.218683634,7.612024338,6.977688977,6.040958128,5.074682892,93.42643278
Africa,        Nigeria,Petroleum,1296.002818,901.4608588,814.5261803,780.6662086,875.3782153,940.2046428,922.7405429,843.2788329,914.5652614,1079.311772,1138.467905,1189.91904,1225.197593,1232.724443,1214.526882,1253.417274,1261.799181,1341.339407,1354.498173,1339.657511,1365.489086,1419.094342,1332.109659,1430.947131,1468.901707,1652.626251,1534.643679,1477.896932,1365.76653,1389.000506,1537.885565,1579.2247,1573.055434,1474.540478,1499.612098,1386.529979,1202.653538,1247.219721,1226.51217,1247.353738,1152.033233,1007.382304,52490.16153
Africa,        Reunion,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Rwanda,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Saint Helena,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sao Tome and Principe,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Senegal,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Seychelles,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Sierra Leone,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Somalia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        South Africa,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0.947470399,5.470366956,5.470366956,5.470366956,5.485354263,5.470366956,16.36275018,19.95217922,19.6162958,19.40009601,15.51147679,21.21900771,36.46888582,23.80204903,15.67829076,12.70077078,11.38377604,4.90706004,4.600349097,4.90706004,4.867451337,4.653401801,4.301927639,4.301927639,2.709586305,2.328585634,2.065237328,1.842076245,1.658429205,1.562458451,285.1154214
Africa,        South Sudan,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.43981334,62.96015864,80.35912902,83.01082345,83.1402077,81.64359388,84.72595115,85.44259552,88.63266774,85.44903485,747.8039753
Africa,        Sudan,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0.163598415,0.163151483,0.054383828,0.108767655,1.086484637,2.707867742,5.438382762,37.58443977,101.4310534,113.7337182,129.8507007,146.6947876,186.7823734,190.3433967,205.6304671,252.2172928,260.558133,262.9197321,264.4156599,246.5002861,50.19009263,72.76846539,61.8359556,58.93539199,57.18943714,55.66067617,36.60260193,37.98715693,35.29655717,36.38927159,2911.240284
Africa,        Tanzania,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Togo,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Tunisia,Petroleum,66.9840792,71.6585457,72.8718555,72.8718555,73.0711431,69.2289954,67.4061,65.7498149,65.02541766,66.0622747,58.77514219,65.45501373,68.67896631,61.35147397,57.51657916,54.59770981,53.43435995,51.4382889,49.19391869,51.05895873,48.85554945,43.65477934,47.40931757,46.74326764,49.49170331,46.46452378,47.33798141,51.96642742,51.88737911,48.97146097,47.34236309,40.44450111,39.9251588,38.3653963,31.95837674,23.70129039,24.98407507,25.04644476,23.96573917,22.48320853,20.78569609,25.1593658,2109.374499
Africa,        Uganda,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Western Sahara,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Zambia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,        Zimbabwe,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Afghanistan,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        American Samoa,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Australia,Petroleum,258.1912704,265.9554567,247.7626089,272.0815575,319.219921,372.9199255,337.8074286,356.2149355,352.723771,322.2016281,372.0015669,353.1833787,345.8670584,325.3695671,345.713663,359.0741894,369.4023909,383.1861884,356.5785295,354.6259694,463.934126,425.9772154,410.2139598,341.769587,298.8433398,313.1666076,301.9028942,304.7556859,308.3223074,311.9938634,318.0325819,273.5883344,270.116379,226.1910219,237.6491073,214.7449342,198.7412103,180.7145868,196.1296714,257.4071276,257.1783956,246.5333848,13027.98733
Asia & Oceania,        Bangladesh,Petroleum,0,0,0,0.123740602,0.248159367,0.439321015,0.441745876,0.440623418,0.503110338,0.396451615,0.582334779,0.520373627,0.646061092,0.706257084,0.954101401,0.768217943,0.956715292,1.078023413,1.01606226,0.954101401,1.640154532,2.181440169,3.847634263,3.847634263,3.814733932,3.804311191,3.804311191,3.804311191,3.607631035,3.184700252,3.184700252,3.184700252,2.986322635,2.565089607,2.565089607,2.565089607,2.572117132,7.470109293,7.057601253,6.624370525,6.55731904,6.401176033,98.04594778
Asia & Oceania,        Bhutan,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Brunei,Petroleum,164.7519528,114.311404,108.6639451,113.6842342,107.9032306,103.2161475,111.3722856,92.50801148,91.50265419,87.63375652,98.92652876,105.8276673,109.6006463,109.7832002,111.3112482,108.3049985,103.0755972,107.6361202,109.2827521,124.7385524,132.048607,133.0837306,114.7945686,119.1510691,124.6544008,128.3498333,135.4588675,103.5575494,95.57551568,90.32592685,92.84377592,104.2936474,97.87405636,82.97463605,77.70310273,77.89961583,74.32241865,69.1968002,68.1903137,74.44883704,67.70146034,65.64803784,4314.131704
Asia & Oceania,        Burma,Petroleum,19.371927,17.3878431,19.3191744,19.3191744,20.6643657,19.3191744,15.4565118,10.9461645,8.720969273,10.12460694,8.836673896,10.12460694,9.273423808,9.201575646,8.98922152,6.321611924,5.259123566,5.888721158,7.1766542,6.210704272,7.868164587,6.519199425,9.752520576,9.738567514,12.98457537,12.96630744,14.90425362,13.72041348,13.88152607,11.73911345,13.18406871,12.97235377,13.00789437,12.97235377,12.69888839,9.752520576,9.779240061,7.1766542,5.888721158,5.244754344,5.167036283,5.003374565,464.8347302
Asia & Oceania,        Cambodia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        China,Petroleum,1333.000331,1265.581953,1286.058566,1332.975423,1447.656966,1575.44841,1647.846827,1691.687961,1721.748525,1733.692082,1744.513463,1782.875961,1793.853868,1817.339123,1848.460155,1880.383153,1974.632498,2012.632376,2011.271238,2009.269158,2048.68014,2075.307553,2131.685449,2143.772012,2197.85055,2270.257319,2310.576818,2350.777814,2391.403767,2388.502707,2566.532558,2549.55706,2570.427212,2620.707447,2648.653682,2692.322097,2514.167097,2405.421729,2383.73828,2407.642624,2454.580257,2509.936468,86543.42869
Asia & Oceania,        Cook Islands,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Fiji,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        French Polynesia,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Guam,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Hawaiian Trade Zone,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,        Hong Kong,Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
