Continent,country,Energy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Production
    Africa,        Algeria,All,821.4802962,890.2109276,945.1313426,1056.92779,1131.008711,1145.160925,1162.996943,1236.194562,1259.542701,1319.489533,1393.057169,1440.77283,1474.44573,1431.419844,1387.875749,1479.458452,1538.12108,1638.88304,1684.769271,1764.119289,1814.270708,1808.287981,1872.881117,1989.664292,2022.513295,2192.078437,2174.091016,2089.47604,2103.774569,2035.303396,2030.341447,2001.226223,2051.31676,1908.008113,1923.052035,1962.453143,2025.3217,2001.776831,1979.707329,1897.511026,1750.439684,1950.932383,69785.49371
    Africa,        Angola,All,98.20718317,85.36944202,80.96422245,115.882125,135.559661,149.837714,182.1233678,231.3579383,290.0857631,290.3008499,304.1462038,320.036764,337.7188593,326.0539184,342.7162347,411.6392841,451.9290519,453.7751821,467.6891118,473.1215836,475.4789071,471.6137862,568.9135423,573.3621117,672.016231,790.5980415,896.4809706,1101.513577,1240.22646,1190.728322,1212.724494,1118.412013,1140.284554,1152.411059,1114.407012,1157.610943,1153.317562,1142.68608,1117.813319,1033.551936,925.9068656,827.63485,26626.2071
    Africa,        Benin,All,0,0,0,2.6259072,4.6099911,5.2547451,5.2547451,4.5982683,3.2941068,2.628085296,2.628085296,2.628085296,3.689399616,3.810723562,3.876425753,1.971063972,1.322794304,0.859215885,0.662101693,0.662116053,0.460565953,0.465971629,0.531579744,0.268743139,0.002935389,0.002930407,0.002906961,0.002896704,0.002887912,0.002860363,0.002859191,0.002847468,0.002788854,0.005592362,0.005574191,0.016386716,0.027056222,0.016200323,0.013598448,0.021042426,0.018141033,0.020720049,52.27296134
    Africa,        Botswana,All,2.421361045,2.486623924,2.708527443,2.577995823,2.564942779,2.852111814,3.198020284,3.17844057,3.97468216,4.327117005,5.182098029,5.116832219,5.880441344,5.808648865,5.880441344,5.939180485,4.751344329,5.064619747,6.030552384,4.692605188,6.134977621,5.971813243,6.219822852,5.371368497,5.945706861,6.428673326,6.278561992,5.404001548,5.939180485,4.816610139,6.448253039,5.142938602,9.603376081,9.769343966,11.20724503,13.64597487,12.29915146,14.55215288,14.19859645,13.84217468,12.30652481,13.01017064,279.1732059
    Africa,        Burkina Faso,All,0,0,0,0,0,0,0,0,0,0,0.027436627,0.039760221,0.060618599,0.141999156,0.217678329,0.284080957,0.345459193,0.34420925,0.233097914,0.36862286,0.289991886,0.160499492,0.190809671,0.28486404,0.294842194,0.291481854,0.232152763,0.319515171,0.388634852,0.374633139,0.348821292,0.256272131,0.295618537,0.324356981,0.281496666,0.289498649,0.419371447,0.426608518,0.605660807,0.558494707,0.545073859,0.602224268,9.843886028
    Africa,        Burundi,All,0.006095856,0.006125163,0.006125163,0.070911217,0.119326381,0.140838305,0.186745962,0.287028655,0.311642432,0.311845236,0.326191013,0.336432637,0.315216714,0.326295932,0.344657354,0.353590127,0.354550225,0.359174869,0.325739392,0.290702581,0.292981493,0.345225323,0.37565654,0.296733375,0.264185021,0.278388658,0.267440442,0.33601765,0.320558208,0.343243584,0.420015029,0.384408196,0.409961556,0.413834769,0.418064355,0.401474542,0.419371447,0.540010782,0.437004297,0.608080686,0.601093018,0.601093018,13.55407427
    Africa,        Cabo Verde,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006042517,0.015116551,0.018132827,0.021212407,0.020951867,0.023907478,0.023975471,0.023916857,0.018169754,0.017888407,0.014836669,0.017612335,0.017582442,0.020348729,0.020276927,0.017327471,0.020022542,0.011436764,0.071186703,0.198008643,0.232083012,0.250838613,0.232145143,0.224566646,0.202504043,0.237461726,0.216612433,0.187690527,0.187690527,2.569546029
    Africa,        Cameroon,All,41.11297444,60.83865774,75.5653801,78.71027764,92.57396688,124.7352416,119.6500659,117.7362183,111.5254269,116.1193672,110.3914869,105.428331,97.27365177,88.47915357,76.72628049,78.86022251,77.51798448,88.05823354,86.20682155,73.51891186,64.30557268,59.18147261,53.81458692,52.99433908,53.49350411,63.53267646,66.39188203,63.95005649,64.20279713,60.52056249,55.69373593,53.26107381,54.90349407,52.04866081,64.89009229,81.53534349,78.24422454,68.63576926,74.57222713,83.66439446,82.41097012,78.11123992,3251.387331
    Africa,        Central African Republic,All,0.200931137,0.199124946,0.208335257,0.197318463,0.211115905,0.183702137,0.232667101,0.222905232,0.223898446,0.226240662,0.231687075,0.229385889,0.233381605,0.232636915,0.238841499,0.241771027,0.245457848,0.248429285,0.242063218,0.242751639,0.248137387,0.248319969,0.244474891,0.246288701,0.363988251,0.389744122,0.404067625,0.393951728,0.392756002,0.386149032,0.38341762,0.416584645,0.416654688,0.384195134,0.469346916,0.459920612,0.458332466,0.406088049,0.400216392,0.391468253,0.385665467,0.385665467,12.7680787
    Africa,        Chad,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07558327,114.1784308,117.9182385,105.409542,96.25478541,85.11399899,79.74659778,81.7820041,76.73829284,69.95858848,66.77506842,80.79240664,82.12743603,76.35256173,85.43493965,87.83662104,85.48910367,77.56802295,58.74280046,1552.295023
    Africa,        Comoros,All,0.006095856,0.006125163,0.006125163,0.00615447,0.006119302,0.006123405,0.006122818,0.006106993,0.006051309,0.006114612,0.006097028,0.006116957,0.00606186,0.006042517,0.00604662,0.006044276,0.006060688,0.005986248,0.00597687,0.005993868,0.005979214,0.006056585,0.008944203,0.011869335,0.014676946,0.014652035,0.014534807,0.014483519,0.014439559,0.014301816,0.014295955,0.014237341,0.008366562,0.005592362,0.005574191,0.005462239,0.005411244,0.001081428,0.001066775,0.001043915,0,0,0.303643966
    Africa,        Congo-Brazzaville,All,40.75487455,51.81606727,55.74402322,54.71088905,75.9907123,75.68906004,74.50923466,77.50213437,90.14305586,102.601116,103.4964144,97.90299175,109.153265,112.9830751,112.197386,117.2123424,125.9377643,163.490205,170.4438484,173.6615589,180.128399,164.06672,160.3719284,157.8132544,150.5806359,147.2129823,155.2588918,135.4530993,152.970998,175.5511667,224.3410485,196.4568225,181.4700829,172.7133972,166.8394417,169.9318806,144.21364,167.647514,226.0959432,215.1466622,185.0607402,173.5845759,5788.849845
